Name,M2,M2_err_low,M2_err_high,R2,R2_err_low,R2_err_high,Period,ecc,ecc_err_low,ecc_err_high,table_ecc,special_ecc,M1,M1_err_low,M1_err_high,R1,R1_err_low,R1_err_high,Teff,Teff_err_low,Teff_err_high,FeH,FeH_err_low,FeH_err_high,FeH_table,logg,logg_err_low,logg_err_high,vsini,vsini_err_low,vsini_err_high,Prot notes,age,age_err_low,age_err_high,age_notes,Notes,,Refnum,Refnum_sub1,Ref,Reflink,Reflink2
Units,Mjup,Mjup,Mjup,Rjup,Rjup,Rjup,days,,,,,,Msun,Msun,Msun,Rsun,Rsun,Rsun,K,change for Bds,,,,,,,,,km/s,km/s,km/s,,Gyr,Gyr,Gyr,,,,,,,,
EBLM J0954-23Ab,102.8,5.87,5.97,0.983,0.165,0.165,7.575,0.04186,0.00092,0.00094,,,1.166,0.082,0.08,1.23,0.17,0.17,6406,124,124,-0.01,0.14,0.14,,,,,,,,,,,,,,,(28),(27),vonBoetticher2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...625A.150V/abstract,
KOI-686b,103.4,5.1,5.1,1.216,0.037,0.037,52.5135456,0.556,0.0037,0.0037,,,0.983,0.074,0.074,1.04,0.03,0.03,5834,100,100,-0.06,0.13,0.13,,4.397,0.017,0.017,3,1.5,1.5,,6.2,2.8,2.8,1.3 - 12.2 Gyr 95% confidence interval,,,(27),(26),Diaz2014,https://ui.adsabs.harvard.edu/abs/2014A%26A...572A.109D/abstract,
TIC 220568520b,107.2,5.2,5.2,1.248,0.018,0.018,18.55741,0.0956,0.003,0.0032,,,1.03,0.042,0.043,1.007,0.009,0.01,5589,81,81,0.26,0.07,0.07,,,,,,,,,,,,,,,(30),(29),Mireles2020,https://ui.adsabs.harvard.edu/abs/2020AJ....160..133M/abstract,
HATS551-016B,114.7,6.29,5.24,1.46,0.0389,0.0292,2.05,0.08,0.02,0.02,,,0.97,0.06,0.05,1.22,0.03,0.02,6420,90,90,-0.6,0.06,0.06,,,,,,,,,,,,,,,(35),(34),Zhou2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.437.2831Z/abstract,
OGLE-TR-106b,121.5,21.987,21.987,1.76,0.17,0.17,2.54,0,0.02,0.02,,,,,,1.31,0.09,0.09,,,,,,,,,,,,,,,,,,,,,(36),(35),Pont2005b,https://ui.adsabs.harvard.edu/abs/2005A%26A...438.1123P/abstract,
EBLM J1431-11Ab,126.9,3.87,3.77,1.447,0.0487,0.0681,4.45,0,0,0,0 (fixed),,1.2,0.055,0.056,1.114,0.028,0.043,6161,124,124,0.15,0.14,0.14,,,,,,,,,,,,,,,(28),(27),vonBoetticher2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...625A.150V/abstract,
HAT-TR-205-013B,129.9,10.5,10.5,1.625,0.058,0.058,2.23,0.012,0.021,0.021,,,1.04,0.13,0.13,1.28,0.04,0.04,6295,335,245,,,,,,,,,,,,,,,,,,(37),(36),Beatty2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...663..573B/abstract,
TIC 231005575b,134.1,3.14,3.14,1.499,0.029,0.029,61.777,0.298,0.001,0.004,,,1.045,0.035,0.035,0.992,0.05,0.05,5500,85,85,-0.44,0.06,0.06,,,,,,,,,,,,,,,(38),(37),Gill2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.2713G/abstract,
HATS551-021B,138.2,5.24,14.7,1.53,0.0778,0.0584,3.64,0.06,0.02,0.02,,,1.1,0.1,0.1,1.2,0.01,0.08,6670,220,220,-0.4,0.1,0.1,,,,,,,,,,,,,,,(35),(34),Zhou2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.437.2831Z/abstract,
EBLM J2017+02Ab,142.2,6.7,6.6,1.489,0.0973,0.127,0.822,0,0,0,0 (fixed),,1.105,0.072,0.074,1.196,0.05,0.08,6161,124,124,-0.07,0.14,0.14,,,,,,,,,,,,,,,(28),(27),vonBoetticher2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...625A.150V/abstract,
KIC 1571511B,148.1,0.53,0.53,1.735,0.00603,0.00496,14.02,0.3269,0.0027,0.0027,,,1.265,0.03,0.036,1.343,0.01,0.012,6195,50,50,0.37,0.08,0.08,,,,,,,,,,,,,,,(39),(38),Ofir2012,https://ui.adsabs.harvard.edu/abs/2012MNRAS.423L...1O/abstract,
WTS 19g-4-02069B,149.8,6.3,6.3,1.693,0.058,0.058,2.44,0,0,0,0 (fixed),,0.53,0.02,0.02,0.51,0.01,0.01,3300,140,140,,,,,,,,,,,,,,,,,,(40),(39),Nefs2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.431.3240N/abstract,
